sample	total_reads	mapped_reads	%mapped
no_DSB_1	332103399	289622308	87.21
no_DSB_3	293903666	252356926	85.86
with_DSB_2	256939846	220441402	85.79
with_DSB_4	285396906	246181212	86.26
ctrlA	307959824	244959919	79.54
ctrlB	296502004	238125307	80.31
dsbA	291337174	235495904	80.83
dsbB	302686400	244503209	80.78
